Staffed_Beds,Total_Discharges,ADI_NATRANK,2021/3/10_x,2022/3/10_x,2023/3/10_x,2021/3/10_y,2022/3/10_y,2023/3/10_y,Value_education,Value_poverty,Value_unemployment,pop_commutes_by_car_truck_van_any,pop_commutes_by_public_transport_any,median_age,pop_citizenship_non_us,pop_citizenship_us_native,pop_citizenship_us_naturalized,pop_ethnicity_hispanic_latino,pop_ethnicity_non_hispanic,pop_race_asian,pop_race_black,pop_race_hawaiian_pacific_islander,pop_race_multiple,pop_race_native_american,pop_race_other,pop_race_white,pop_sex_female,pop_sex_male,households_with_annual_income_100000_to_124999,households_with_annual_income_125000_to_149999,households_with_annual_income_150000_to_199999,households_with_annual_income_200000_or_more,households_with_annual_income_30000_to_39999,households_with_annual_income_40000_to_49999,households_with_annual_income_50000_to_59999,households_with_annual_income_60000_to_75499,households_with_annual_income_75000_to_99999,households_with_annual_income_less_than_30000,pop_employment_status_in_labor_force,pop_received_ssi_foodstamps_snap_past_year,households_with_no_internet_access,pop_adult_education_bachelors_or_higher,pop_adult_education_high_school,pop_adult_education_less_than_high_school,pop_adult_education_some_college_or_associates,pop_total
268.0,11158.0,71.60810810810811,11475.0,27191.0,32967.0,216.0,377.0,410.0,22.071428571428573,15.253846153846156,8.351851851851851,37406,80,39.2,5251.0,89337.0,1549.0,13596,82541,615,2826,36,3580,371,1925,86784,48679,47458,2351,1909,1153,1442,3430,3674,3045,3590,4157,10364,41375,7243,5275,9994,14030,7736,16065,96137
1445.0,55521.0,74.72085889570552,36525.0,112876.0,134986.0,746.0,1600.0,1802.0,21.71428571464286,15.846153846153848,9.21111111111111,160360,138,38.1,5615.0,401053.0,7309.0,11994,401983,7728,149478,61,9219,2748,4609,240134,216851,197126,11839,7452,6979,5385,15731,13978,12986,15817,17853,49537,186851,33924,28185,53847,69244,25032,64501,413977
46.0,917.0,87.42857142857143,1669.0,5261.0,6742.0,39.0,78.0,88.0,22.71785714257143,23.16923076923077,11.255555555555556,6326,12,43.5,55.0,20848.0,103.0,74,20932,125,8918,12,218,286,22,11425,10912,10094,346,257,263,192,706,589,618,579,779,3721,7815,1374,3469,1422,5214,1162,2682,21006
851.0,37795.0,76.95360824742268,22891.0,54527.0,73840.0,525.0,897.0,1010.0,21.71428571464286,20.646153846153844,8.696296296296296,91194,170,36.7,6860.0,215757.0,3834.0,7997,218454,6933,131159,23,6256,478,2941,78661,119722,106729,7752,3791,3970,3950,8533,7809,8510,8475,9784,26937,108775,20143,12840,39764,27407,13928,35605,226451
472.0,10232.0,72.74712643678161,13827.0,35918.0,46540.0,256.0,492.0,551.0,21.78571428607143,11.292307692307691,5.184615384615385,48891,141,40.5,3886.0,114003.0,1463.0,10060,109292,661,15137,196,4160,506,4927,93765,60533,58819,3511,2366,2310,1813,4924,3975,3844,4379,5972,13294,54349,7128,8299,13539,18762,9831,19712,119352
0.0,0.0,96.44444444444444,1071.0,2090.0,2673.0,27.0,43.0,49.0,22.360714285714288,32.6,11.725925925925926,2178,0,38.5,66.0,8917.0,121.0,178,8926,8,6290,0,4,3,103,2696,4760,4344,123,98,4,0,455,137,131,154,139,1899,2696,1114,1349,719,1516,757,954,9104
0.0,0.0,85.61111111111111,2268.0,5228.0,6339.0,57.0,99.0,122.0,22.107142857214285,19.99230769230769,9.544444444444444,6128,0,42.5,688.0,19304.0,57.0,989,19060,8,8078,0,272,38,269,11384,10475,9574,691,192,217,194,781,759,389,717,747,3044,7514,1362,2106,1517,4027,1566,3485,20049
59.0,921.0,80.0,2939.0,7419.0,9264.0,73.0,128.0,142.0,22.210714285714285,20.82307692307692,8.0,12823,2,30.8,1039.0,31880.0,355.0,764,32510,715,12415,3,749,121,41,19230,17263,16011,847,514,512,300,1315,814,715,955,1101,4627,14875,2078,2975,4265,4664,1430,3836,33274
0.0,0.0,78.94736842105263,1657.0,5055.0,6527.0,41.0,74.0,79.0,22.135714285357142,20.04615384615385,9.144444444444444,8203,0,43.6,175.0,22364.0,193.0,663,22069,49,4327,0,518,99,176,17563,11701,11031,533,521,296,159,977,815,809,876,741,2928,9175,1991,1867,2027,3830,1909,3535,22732
47.0,2755.0,80.84444444444445,4102.0,10015.0,13030.0,34.0,84.0,100.0,21.714285714285715,20.23076923076923,8.71111111111111,22221,13,36.7,783.0,56123.0,1032.0,3268,54670,676,26023,30,1911,85,1538,27675,30129,27809,1298,581,894,695,2106,2211,2347,2133,2383,9046,25714,5946,4834,5570,8815,3638,12976,57938
40.0,1975.0,61.78333333333333,9100.0,25172.0,33302.0,228.0,407.0,441.0,21.567857142857143,10.807692307692308,4.65,37294,23,40.5,752.0,87441.0,736.0,2177,86752,668,8399,18,1247,482,722,77393,44673,44256,4559,1162,1580,1041,3103,2626,2830,3924,4699,7241,41937,3601,4320,8695,16253,5960,16519,88929
252.0,7949.0,45.64393939393939,22377.0,60040.0,78112.0,221.0,429.0,482.0,21.571428571392858,6.146153846153847,3.507692307692308,96861,158,39.5,5866.0,205564.0,4920.0,12354,203996,4231,26213,43,6648,834,5821,172560,111753,104597,9488,7236,6533,7874,5182,6096,5843,8363,11192,12949,112497,5383,5903,53088,19842,7138,34494,216350
33.0,333.0,96.42857142857144,1010.0,2563.0,3176.0,32.0,48.0,55.0,22.421428571785714,32.26923076923077,9.666666666666666,4212,0,35.7,243.0,12352.0,0.0,146,12449,247,8987,0,124,8,39,3190,6851,5744,253,102,44,37,466,418,344,342,436,2913,4991,1387,1719,1137,1763,455,2006,12595
245.0,4608.0,81.12068965517241,7670.0,22225.0,28602.0,167.0,362.0,397.0,22.000000000357144,17.984615384615385,9.48148148148148,29483,230,41.4,1205.0,78634.0,405.0,1901,78343,432,25904,151,1766,282,768,50941,41539,38705,2411,1024,1025,618,3407,2607,2187,3342,3685,11435,34544,5893,6034,6343,13335,6960,15178,80244
